cluster_id,code,distinct_colors,config_count,extL,extA,extB,trnL,trnA,trnB,max_dE_in_cluster,mean_dE_in_cluster,max_trn_dE_in_cluster,mean_trn_dE_in_cluster,source,source_idx,stack_desc,stack_json
48,anchor_48,8,32,44.58,-3.03,-1.66,75.31,-8.03,5.37,0.4912,0.2781,0.8425,0.3345,enthermal-plus-inboard.json,1039,C270 Clear 5mm / Ar90 11.05mm / Clear 5mm / Vacuum 0.25mm / C366 Clear 5mm,"[{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.05},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":5}]"
49,anchor_49,30,60,44.59,-3.03,-2.88,83.69,-4.83,4.39,1.1065,0.6197,1.3634,0.5128,enthermal-plus-outboard.json,13,C270 Clear 4mm / Vacuum 0.25mm / Clear 4mm / Ar90 13.35mm / LUMI Clear 4mm,"[{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":13.35},{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":4}]"
50,anchor_50,42,96,44.64,-3.72,-3.57,77.54,-7.24,6.68,1.2401,0.8124,2.7456,0.8514,enthermal-plus-inboard.json,47,SB60 Clear 4mm / Ar90 13.34mm / SB70 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":4},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":13.34},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
51,anchor_51,31,72,44.66,-7.06,-12.98,60.22,-11.1,-1.66,1.0395,0.4315,1.7585,0.5908,enthermal-plus-inboard.json,194,C340 Clear 5mm / Ar90 12.55mm / SB70 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""C340"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":12.55},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
52,anchor_52,10,28,44.66,-1.95,-8.71,85.91,-4.73,3.96,0.9126,0.4538,0.4957,0.1832,enthermal-plus-inboard.json,1652,SKN183 Clear 6mm / Ar90 8.15mm / LUMI Clear 6mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":8.15},{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
53,anchor_53,36,92,44.67,-2.21,-4.59,79.6,-6.97,5.03,1.1677,0.7115,2.4127,1.2281,enthermal-plus-inboard.json,301,C366 Clear 5mm / Ar90 12.65mm / Clear 4mm / Vacuum 0.25mm / C180 Clear 4mm,"[{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":12.65},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":4}]"
54,anchor_54,18,36,44.73,-2.43,-1.84,84.52,-3.96,4.23,0.7174,0.3016,1.153,0.4242,enthermal-plus-inboard.json,688,LUMI Clear 6mm / Ar90 11.35mm / Clear 4mm / Vacuum 0.25mm / C272 Clear 4mm,"[{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.35},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C272"",""substrate"":""Clear"",""thickness"":4}]"
55,anchor_55,19,54,44.93,-6.31,-13.6,64.98,-9.74,-3.65,0.871,0.3915,1.4412,0.4997,enthermal-plus-inboard.json,840,C340 Clear 5mm / Ar90 11.85mm / Clear 5mm / Vacuum 0.25mm / C180 Clear 4mm,"[{""type"":""glass"",""coating"":""C340"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.85},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":4}]"
56,anchor_56,14,28,44.93,-3.04,-1.15,84.42,-5.11,4.6,0.645,0.3232,1.1022,0.5089,enthermal-plus-inboard.json,914,LUMI Clear 5mm / Ar90 11.52mm / Clear 5mm / Vacuum 0.25mm / SB60 Clear 4mm,"[{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.52},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":4}]"
57,anchor_57,9,18,45.04,-1.55,-7.35,77.19,-8.35,4.91,1.2642,0.3248,1.1917,0.6736,enthermal-plus-inboard.json,2201,SKN183 Clear 6mm / Ar90 7.75mm / Clear 6mm / Vacuum 0.25mm / C366 Clear 6mm,"[{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.75},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":6}]"
58,anchor_58,10,20,45.05,-4.67,-2.03,77.95,-5.82,4.91,0.8208,0.5316,1.4308,0.7527,enthermal-plus-inboard.json,8,C270 Clear 4mm / Ar90 13.45mm / C270 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":4},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":13.45},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
59,anchor_59,16,32,45.08,-0.49,-3.04,80.98,-7.07,4.92,0.5612,0.2541,0.9787,0.3399,enthermal-plus-outboard.json,577,LUMI Clear 6mm / Vacuum 0.25mm / Clear 5mm / Ar90 9.45mm / C366 Clear 5mm,"[{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":9.45},{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":5}]"
60,anchor_60,16,32,45.18,-3.35,-5.88,80.67,-6.42,4.6,1.1111,0.6937,2.2653,1.2043,enthermal-plus-inboard.json,1820,SKN183 Clear 6mm / Ar90 8.7mm / Clear 6mm / Vacuum 0.25mm / SB60 Clear 5mm,"[{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":8.7},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":5}]"
61,anchor_61,2,4,45.3,-2.43,-10.82,82.47,-5.49,3.93,0.0665,0.0332,0.1416,0.0708,enthermal-plus-inboard.json,2013,SKN183 Clear 6mm / Ar90 7.15mm / SKN183 Clear 6mm / Vacuum 0.25mm / Clear 6mm,"[{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.15},{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6}]"
62,anchor_62,30,76,45.37,-2.09,-4.35,83.28,-4.83,4.72,0.9012,0.5338,1.2648,0.7187,enthermal-plus-inboard.json,861,SB60 Clear 5mm / Ar90 11.88mm / Clear 5mm / Vacuum 0.25mm / C180 Clear 4mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.88},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":4}]"
63,anchor_63,5,12,45.44,-3.41,-7.67,80.21,-5.7,4.4,0.9235,0.3342,1.595,0.7182,enthermal-plus-inboard.json,533,SKN183 Clear 6mm / Ar90 11.35mm / C270 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.35},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
64,anchor_64,8,32,45.53,-7.14,0.11,77.54,-6.24,5.08,0.3943,0.2221,0.9458,0.3688,enthermal-plus-inboard.json,1037,C270 Clear 5mm / Ar90 11.05mm / Clear 5mm / Vacuum 0.25mm / C270 Clear 5mm,"[{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.05},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5}]"
65,anchor_65,31,62,45.58,-3.98,-4.92,81.57,-6.94,6.17,1.2795,0.625,2.2458,0.6866,enthermal-plus-inboard.json,1940,SB70 Clear 6mm / Ar90 7.49mm / LUMI Clear 6mm / Vacuum 0.25mm / Clear 6mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.49},{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6}]"
66,anchor_66,13,34,45.85,-5.44,-2.89,75.89,-7.77,6.7,0.6683,0.38,1.0519,0.5735,enthermal-plus-inboard.json,726,C270 Clear 5mm / Ar90 11.79mm / SB70 Clear 5mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.79},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
67,anchor_67,6,6,45.97,-1.47,-5.53,90.78,-2.75,2.52,0.4254,0.2549,0.8384,0.3627,enthermal.json,2,C180 Clear 5mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
68,anchor_68,14,30,45.99,-2.82,-4.02,83.22,-4.95,4.7,0.8991,0.4973,1.814,0.7432,enthermal-plus-inboard.json,420,SB60 Clear 6mm / Ar90 11.69mm / C180 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.69},{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
69,anchor_69,10,20,46.1,-6.15,-5.37,79.46,-6.56,4.62,1.2541,0.381,2.2409,0.9522,enthermal-plus-inboard.json,2199,SKN183 Clear 6mm / Ar90 7.75mm / Clear 6mm / Vacuum 0.25mm / C270 Clear 6mm,"[{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.75},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":6}]"
70,anchor_70,43,94,46.13,-4.54,-3.37,76.22,-7.59,6.6,0.9589,0.4365,1.6277,0.5948,enthermal-plus-outboard.json,194,C270 Clear 6mm / Vacuum 0.25mm / Clear 4mm / Ar90 11.64mm / SB70 Clear 4mm,"[{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.64},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":4}]"
71,anchor_71,24,48,46.13,-4.14,-3.65,72.98,-10.15,6.87,1.1628,0.6749,1.6028,0.9527,enthermal-plus-outboard.json,836,SB70 Clear 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 8.01mm / C366 Clear 6mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":8.01},{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":6}]"
72,anchor_72,16,32,46.37,-6.53,-0.55,83.29,-5.22,4.5,0.4918,0.202,0.9049,0.4265,enthermal-plus-inboard.json,1121,LUMI Clear 5mm / Ar90 10.75mm / Clear 5mm / Vacuum 0.25mm / C270 Clear 5mm,"[{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":10.75},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5}]"
73,anchor_73,4,8,46.57,-4.22,-8.5,78.05,-7.73,6.19,0.1811,0.1198,0.5602,0.311,enthermal-plus-inboard.json,1293,SKN183 Clear 6mm / Ar90 9.76mm / SB70 Clear 5mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":9.76},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
74,anchor_74,16,32,47.05,-7.1,-2.33,75.69,-7.95,6.73,0.3912,0.2185,0.9486,0.4357,enthermal-plus-outboard.json,463,SB70 Clear 5mm / Vacuum 0.25mm / Clear 5mm / Ar90 11.06mm / C270 Clear 5mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.06},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5}]"
75,anchor_75,8,16,47.07,-3.13,-8.95,78.41,-7.36,6.12,0.5309,0.3163,0.9811,0.4338,enthermal-plus-inboard.json,705,SKN183 Clear 6mm / Ar90 11.25mm / Clear 4mm / Vacuum 0.25mm / SB70 Clear 4mm,"[{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":4}]"
76,anchor_76,16,48,47.22,-4.16,-3.44,81.72,-5.32,4.8,0.8866,0.5507,1.0332,0.404,enthermal-plus-inboard.json,931,C270 Clear 5mm / Ar90 11.05mm / C180 Clear 5mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.05},{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
77,anchor_77,16,32,47.24,-2.84,-5.43,80.99,-7.56,6.17,1.3915,0.7461,1.9425,0.84,enthermal-plus-inboard.json,1807,LUMI Clear 6mm / Ar90 8.7mm / Clear 6mm / Vacuum 0.25mm / SB70 Clear 5mm,"[{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":8.7},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":5}]"
78,anchor_78,8,16,47.26,-5.9,-4.6,74.36,-9.03,8.04,0.4279,0.2305,0.7294,0.3491,enthermal-plus-inboard.json,999,SB70 Clear 5mm / Ar90 11.09mm / SB70 Clear 5mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.09},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
79,anchor_79,8,32,47.52,-5.14,-4.91,74.37,-9.01,8.02,0.4276,0.2411,0.7314,0.3494,enthermal-plus-inboard.json,1104,SB70 Clear 5mm / Ar90 11.09mm / Clear 5mm / Vacuum 0.25mm / SB70 Clear 5mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.09},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":5}]"
80,anchor_80,12,24,47.7,-2.12,-9.15,84.48,-4.69,4.06,0.9778,0.4638,1.1129,0.4813,enthermal-plus-inboard.json,700,SKN183 Clear 6mm / Ar90 11.35mm / Clear 4mm / Vacuum 0.25mm / C180 Clear 4mm,"[{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.35},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":4}]"
81,anchor_81,18,36,47.83,-1.75,-5.91,87.6,-4.18,4.11,1.2124,0.4265,1.2403,0.5864,enthermal-plus-inboard.json,1442,LUMI Clear 6mm / Ar90 9.75mm / Clear 5mm / Vacuum 0.25mm / C180 Clear 5mm,"[{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":9.75},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":5}]"
82,anchor_82,22,44,47.95,-2.22,-5.48,81.82,-4.97,4.65,0.9846,0.5997,1.9309,1.1276,enthermal-plus-inboard.json,1832,C180 Clear 6mm / Ar90 8.05mm / C272 Clear 6mm / Vacuum 0.25mm / Clear 6mm,"[{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":8.05},{""type"":""glass"",""coating"":""C272"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6}]"
83,anchor_83,24,48,48.8,-4.3,-4.92,80.66,-6.33,6.17,1.1379,0.7571,1.8954,0.7749,enthermal-plus-inboard.json,56,SB70 Clear 4mm / Ar90 13.44mm / C180 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":4},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":13.44},{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
84,anchor_84,29,58,48.99,-1.78,-6.03,87.4,-4.32,4.15,0.9824,0.46,1.4144,0.6459,enthermal-plus-outboard.json,517,C180 Clear 6mm / Vacuum 0.25mm / Clear 5mm / Ar90 9.75mm / LUMI Clear 5mm,"[{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":9.75},{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":5}]"
85,anchor_85,7,8,49.14,-0.8,-7.17,90.71,-2.4,3.47,0.9818,0.2931,1.901,0.4351,enthermal.json,69,ZEN Clear 5mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""ZEN"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
86,anchor_86,14,44,49.22,-1.56,-4.79,78.58,-8.01,5.19,1.4482,0.8045,1.3989,0.8962,enthermal-plus-inboard.json,2025,C180 Clear 6mm / Ar90 8.05mm / Clear 6mm / Vacuum 0.25mm / C366 Clear 6mm,"[{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":8.05},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":6}]"
87,anchor_87,2,4,49.45,-2.62,-8.36,83.95,-4.97,4.14,0.0613,0.0307,0.1536,0.0768,enthermal-plus-inboard.json,1837,C180 Clear 6mm / Ar90 7.45mm / SKN183 Clear 6mm / Vacuum 0.25mm / Clear 6mm,"[{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.45},{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6}]"
88,anchor_88,9,34,49.45,-2.59,-4.01,83.0,-3.9,4.52,0.741,0.393,1.4851,0.5911,enthermal-plus-inboard.json,275,C180 Clear 5mm / Ar90 12.65mm / Clear 4mm / Vacuum 0.25mm / C272 Clear 4mm,"[{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":12.65},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C272"",""substrate"":""Clear"",""thickness"":4}]"
89,anchor_89,15,30,49.54,-3.13,-3.45,82.64,-5.36,4.89,0.5103,0.331,1.0038,0.5037,enthermal-plus-inboard.json,1033,C180 Clear 5mm / Ar90 11.06mm / Clear 5mm / Vacuum 0.25mm / SB60 Clear 5mm,"[{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.06},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":5}]"
90,anchor_90,10,20,49.92,-3.22,-5.25,81.96,-4.93,4.62,0.8122,0.4609,1.3923,0.6994,enthermal-plus-inboard.json,169,C180 Clear 5mm / Ar90 12.65mm / C270 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":12.65},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
91,anchor_91,8,32,50.69,-5.87,-2.92,81.7,-5.3,4.8,0.5294,0.2916,1.0217,0.3964,enthermal-plus-inboard.json,1030,C180 Clear 5mm / Ar90 11.05mm / Clear 5mm / Vacuum 0.25mm / C270 Clear 5mm,"[{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.05},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5}]"
92,anchor_92,5,5,50.79,-3.11,-6.9,78.57,-6.79,0.86,0.3592,0.1638,0.5784,0.2395,enthermal.json,50,SBR67 Clear 6mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""SBR67"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
93,anchor_93,8,16,50.83,-3.87,-6.1,79.82,-7.02,6.38,0.7099,0.3232,1.0286,0.407,enthermal-plus-inboard.json,383,C180 Clear 6mm / Ar90 11.55mm / SB70 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.55},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
