Product Type,Comment,Total Thickness (mm),Outer Lite (Name_Thickness mm),Outer Lite NFRC ID,Outer Lite Low-E,Inner Lite (Name_Thickness mm),Inner Lite NFRC ID,Inner Lite Low-E,U-value NFRC (W/m²K),U-value NFRC (BTU/hrftF),R-value NFRC,SHGC,Tvis (Visible Transmittance),Exterior Visible Reflectance,Transmitted Color L*,Transmitted Color a*,Transmitted Color b*,Exterior Reflected Color L*,Exterior Reflected Color a*,Exterior Reflected Color b*,T-UV,NFRC,CEN,g-factor,U-value CEN (W/m�K)
Enthermal,SB60 Solarbronze 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Solarbronze®  6mm,5274,Solarban® 60 S2,Clear Float Glass,414,,0.3485,0.0614,16.29,0.2414,0.421,0.0663,70.63,0.59,7.14,30.86,0.53,0.22,0.0821,Yes,No,,
Enthermal,SB60 Solarbronze 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Solarbronze®  6mm,5274,Solarban® 60 S2,Clear Float Glass,415,,0.3484,0.0614,16.3,0.241,0.4181,0.0667,70.43,0.31,7.09,30.94,0.5,0.27,0.081,Yes,No,,
Enthermal,SB60 Solargray 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Solargray®  6mm,5289,Solarban® 60 S2,Clear Float Glass,413,,0.3486,0.0614,16.29,0.2101,0.3543,0.0595,66.0,-1.47,0.25,29.28,0.08,-2.09,0.0803,Yes,No,,
Enthermal,SB60 Solargray 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Solargray®  6mm,5289,Solarban® 60 S2,Clear Float Glass,414,,0.3485,0.0614,16.29,0.2102,0.3519,0.0594,65.81,-1.65,0.29,29.25,0.06,-2.08,0.079,Yes,No,,
Enthermal,SB60 Solargray 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Solargray®  6mm,5289,Solarban® 60 S2,Clear Float Glass,415,,0.3484,0.0614,16.3,0.2098,0.3495,0.0596,65.63,-1.9,0.27,29.31,0.02,-2.06,0.0779,Yes,No,,
Enthermal,SB60 Optigray 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Optigray®  6mm,5265,Solarban® 60 S2,Clear Float Glass,413,,0.3487,0.0614,16.29,0.267,0.5015,0.0758,76.09,-3.63,2.38,33.08,-0.9,-1.9,0.1064,Yes,No,,
Enthermal,SB60 Optigray 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Optigray®  6mm,5265,Solarban® 60 S2,Clear Float Glass,414,,0.3486,0.0614,16.29,0.2671,0.4981,0.0755,75.88,-3.83,2.43,33.03,-0.93,-1.89,0.1046,Yes,No,,
Enthermal,SB60 Optigray 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Optigray®  6mm,5265,Solarban® 60 S2,Clear Float Glass,415,,0.3484,0.0614,16.3,0.2667,0.4948,0.0761,75.68,-4.11,2.4,33.14,-1.0,-1.85,0.1032,Yes,No,,
Enthermal,SB60 Solarblue 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Solarblue®  6mm,5364,Solarban® 60 S2,Clear Float Glass,413,,0.3486,0.0614,16.29,0.2469,0.4472,0.0695,72.98,-6.78,-6.74,31.83,-1.26,-6.02,0.1019,Yes,No,,
Enthermal,SB60 Solarblue 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Solarblue®  6mm,5364,Solarban® 60 S2,Clear Float Glass,414,,0.3485,0.0614,16.29,0.247,0.4443,0.0693,72.79,-6.96,-6.66,31.79,-1.28,-5.99,0.1002,Yes,No,,
Enthermal,SB60 Solarblue 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Solarblue®  6mm,5364,Solarban® 60 S2,Clear Float Glass,415,,0.3484,0.0614,16.3,0.2466,0.4413,0.0697,72.6,-7.21,-6.67,31.89,-1.35,-5.98,0.0989,Yes,No,,
Enthermal,SB60 Optiblue 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Optiblue® (Solarban® z50)  6mm,5424,Solarban® 60 S2,Clear Float Glass,413,,0.3486,0.0614,16.29,0.2978,0.5105,0.0771,76.82,-3.42,-3.41,33.45,-0.32,-5.13,0.1384,Yes,No,,
Enthermal,SB60 Optiblue 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Optiblue® (Solarban® z50)  6mm,5424,Solarban® 60 S2,Clear Float Glass,414,,0.3485,0.0614,16.29,0.2979,0.5071,0.0768,76.61,-3.63,-3.34,33.4,-0.35,-5.1,0.1358,Yes,No,,
Enthermal,SB60 Optiblue 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Optiblue® (Solarban® z50)  6mm,5424,Solarban® 60 S2,Clear Float Glass,415,,0.3484,0.0614,16.3,0.2974,0.5037,0.0774,76.41,-3.91,-3.36,33.51,-0.42,-5.08,0.1338,Yes,No,,
