Product Type,Comment,Total Thickness (mm),Outer Lite (Name_Thickness mm),Outer Lite NFRC ID,Outer Lite Low-E,Inner Lite (Name_Thickness mm),Inner Lite NFRC ID,Inner Lite Low-E,U-value NFRC (W/m²K),U-value NFRC (BTU/hrftF),R-value NFRC,SHGC,Tvis (Visible Transmittance),Exterior Visible Reflectance,Transmitted Color L*,Transmitted Color a*,Transmitted Color b*,Exterior Reflected Color L*,Exterior Reflected Color a*,Exterior Reflected Color b*,T-UV,NFRC,CEN,g-factor,U-value CEN (W/m�K)
Enthermal,SB60 Starphire 5mm / Vacuum 0.25mm / Starphire 4mm,8.85,Starphire®  5mm,5348,Solarban® 60 S2,Starphire®  4mm,5002,,0.3488,0.0614,16.28,0.4038,0.7465,0.1106,89.17,-1.59,2.76,39.67,-0.25,-2.72,0.2469,Yes,No,,
Enthermal,SB60 Starphire 5mm / Vacuum 0.25mm / Starphire 5mm,9.65,Starphire®  5mm,5348,Solarban® 60 S2,Starphire®  5mm,5003,,0.3487,0.0614,16.29,0.4038,0.7458,0.1105,89.13,-1.62,2.75,39.66,-0.25,-2.73,0.2461,Yes,No,,
Enthermal,SB60 Starphire 6mm / Vacuum 0.25mm / Starphire 4mm,9.85,Starphire®  6mm,5349,Solarban® 60 S2,Starphire®  4mm,5002,,0.3487,0.0614,16.29,0.4028,0.7456,0.1104,89.12,-1.63,2.75,39.65,-0.28,-2.72,0.2459,Yes,No,,
Enthermal,SB60 Starphire 6mm / Vacuum 0.25mm / Starphire 5mm,10.65,Starphire®  6mm,5349,Solarban® 60 S2,Starphire®  5mm,5003,,0.3486,0.0614,16.29,0.4028,0.7449,0.1104,89.09,-1.66,2.74,39.63,-0.28,-2.73,0.2451,Yes,No,,
Enthermal,SB60 Starphire 6mm / Vacuum 0.25mm / Starphire 6mm,11.65,Starphire®  6mm,5349,Solarban® 60 S2,Starphire®  6mm,5004,,0.3484,0.0614,16.3,0.4028,0.7439,0.1103,89.04,-1.7,2.74,39.63,-0.29,-2.73,0.2441,Yes,No,,
Enthermal,SB72 Starphire 6mm / Vacuum 0.25mm / Starphire 4mm,9.85,Starphire®  6mm,5435,Solarban® 72 S2,Starphire®  4mm,5002,,0.2803,0.0494,20.26,0.2652,0.6829,0.1345,86.08,-2.99,3.52,43.46,-1.41,-4.64,0.0895,Yes,No,,
Enthermal,SB72 Starphire 6mm / Vacuum 0.25mm / Starphire 5mm,10.65,Starphire®  6mm,5435,Solarban® 72 S2,Starphire®  5mm,5003,,0.2803,0.0494,20.26,0.2652,0.6823,0.1344,86.05,-3.02,3.51,43.46,-1.41,-4.64,0.0893,Yes,No,,
Enthermal,SB72 Starphire 6mm / Vacuum 0.25mm / Starphire 6mm,11.65,Starphire®  6mm,5435,Solarban® 72 S2,Starphire®  6mm,5004,,0.2802,0.0493,20.27,0.2652,0.6814,0.1344,86.0,-3.06,3.5,43.45,-1.42,-4.65,0.0889,Yes,No,,
Enthermal,LUMI 4mm / Vacuum 0.25mm / Clear 4mm,8.25,SGG ECLAZ II 4mm,20754,ECLAZ II S2,SGG PLANICLEAR 4mm,21011,,0.3932,0.0693,14.44,0.6338,0.8304,0.1139,93.01,-1.96,2.15,40.39,-0.62,-3.62,0.4483,Yes,Yes,0.637426,0.411255
Enthermal,LUMI 5mm / Vacuum 0.25mm / Clear 4mm,9.25,SGG ECLAZ II 5mm,20755,ECLAZ II S2,SGG PLANICLEAR 4mm,21011,,0.3926,0.0691,14.46,0.6271,0.8278,0.1133,92.89,-2.09,2.19,40.3,-0.76,-3.57,0.4384,Yes,Yes,0.631194,0.410489
Enthermal,LUMI 5mm / Vacuum 0.25mm / Clear 5mm,10.25,SGG ECLAZ II 5mm,20755,ECLAZ II S2,SGG PLANICLEAR 5mm,21012,,0.3924,0.0691,14.47,0.6273,0.8252,0.1131,92.78,-2.24,2.18,40.27,-0.85,-3.57,0.4304,Yes,Yes,0.631191,0.410312
Enthermal,LUMI 6mm / Vacuum 0.25mm / Clear 4mm,10.25,SGG ECLAZ II 6mm,20756,ECLAZ II S2,SGG PLANICLEAR 4mm,21011,,0.3931,0.0692,14.44,0.6205,0.8251,0.113,92.78,-2.24,2.2,40.25,-0.79,-3.52,0.429,Yes,Yes,0.625003,0.411103
Enthermal,LUMI 6mm / Vacuum 0.25mm / Clear 5mm,11.25,SGG ECLAZ II 6mm,20756,ECLAZ II S2,SGG PLANICLEAR 5mm,21012,,0.3929,0.0692,14.45,0.6206,0.8225,0.1128,92.66,-2.39,2.19,40.22,-0.89,-3.52,0.4216,Yes,Yes,0.624999,0.410926
Enthermal,LUMI 6mm / Vacuum 0.25mm / Clear 6mm,12.25,SGG ECLAZ II 6mm,20756,ECLAZ II S2,SGG PLANICLEAR 6mm,21013,,0.3928,0.0692,14.46,0.6209,0.8199,0.1121,92.55,-2.52,2.21,40.11,-0.96,-3.61,0.4132,Yes,Yes,0.625117,0.410748
